date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14
2017/2/28,10,RCGDTY,-1.059212666,0.779975219,-1.220335857,0.218495329,6.315543326,4.959445404,-5.398153841,2.636660729,-0.503392673,-4.131883906,-18.22409333,-17.72070066,-2.124424048,-5.303644584,0.702846042,0.277125524,-0.287180489,-0.398999929
2017/2/28,20,RCGRH8,-1.66521973,-0.598067519,-0.547721186,-1.148662528,-2.242513308,-1.78316616,-4.047312515,-5.722607291,-24.14329536,64.08164196,116.860789,141.0040843,-2.229728319,0.112545834,0.73442374,1.705955397,0.596051457,-0.225096107
2017/2/28,35,RCKMZZ,1.534903693,1.497396893,-1.165244363,-3.58087915,-3.011210556,-4.914836161,5.251788396,-10.40036287,-6.742375063,-6.372045937,-9.284470111,-2.542095048,-1.787331529,0.891838767,1.937692438,-0.165657286,0.085232132,0.862401009
2017/2/28,35,RDKWL9,-0.807058491,-1.070018789,0.735516968,-0.131551265,-1.551770265,-5.989392507,-8.698327037,-2.519278101,-2.498216062,-7.630940099,-9.064561311,-6.56634525,0.810008471,-1.366321809,-7.630439546,-8.554303929,0.632129392,-0.750579357
2017/2/28,35,RDLR73,-1.167234138,-1.061008492,-0.134133723,-2.643777806,-2.783824406,-7.659458222,-11.54232645,-8.599453594,-2.556192644,1.193264876,-9.3385923,-6.782399656,0.057948471,1.101664329,3.934581287,4.479331181,0.815435765,-0.159407616
2017/2/28,25,RFV7N7,-2.239208044,-1.747451939,-3.850445443,-6.648056536,-9.129876525,-5.254106686,-7.129237824,0.791974907,-1.970860911,-2.27342844,-1.442903169,0.527957742,1.062997406,0.946703276,2.915525411,2.414195578,0.504894516,0.334702969
2017/2/28,45,RH1ZMN,-2.54881316,-2.652914804,-2.939947613,-3.521401925,-3.228711051,-4.04375567,-12.39959715,-17.2324031,-7.446537109,-5.962784437,-2.944144063,4.502393046,0.621470792,-0.628334511,1.381524757,1.076919889,1.07694878,0.104552388
2017/2/28,55,RJ034Z,0.242342655,0.073811052,0.243298557,-0.098044326,0.105517533,1.442917033,0.402129838,0.224179657,-1.362204001,0.523032058,-2.163610102,-0.801406101,0.331652167,1.058107651,1.423095752,1.73805819,-0.725576609,-0.905183315
2017/2/28,30,RJ0470,0.113825517,2.020486156,0.624967418,1.533477574,2.102315148,4.285464387,-5.425254776,-17.10618163,-9.239535139,-15.34841633,13.15267407,22.39220921,11.89558074,9.770213359,8.406559954,7.951781078,0.47069452,-0.145589948
2017/2/28,55,RJ0BM6,-0.038911139,-0.794181307,-2.03748418,-0.58220009,-1.151291299,-0.214120022,0.990370997,-1.331983537,5.403592221,7.477502086,6.74327386,1.339681639,0.046402167,0.052644379,-0.962986904,-0.248398391,-0.272860199,1.026802063
