date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14,pred
2017/2/1,25,BPQNV7,-0.822010028,-2.51382287,-2.794732014,0.574423799,-1.161723043,-1.839724099,1.544867122,-1.451037942,7.072138329,14.7924119,16.45262965,9.380491321,-0.080116368,1.980656569,5.133387948,1.104212855,0.102022238,0.406904697,15.52102743
2017/2/1,25,BPSQS5,-1.487256193,0.945511113,-5.729473548,-6.406334057,-6.65878647,-3.790507844,-15.66486423,-17.81785155,1.969866164,4.452280392,2.226981482,0.257115318,0.086353632,0.779340394,-0.424349663,-1.625875906,0.709739239,1.365949631,1.287482515
2017/2/1,35,BPTBYR,0.889245508,0.338090586,-0.567297793,4.717575075,3.497707974,6.016971327,8.417359198,-6.834333905,-11.83580824,-15.46450461,-13.51038966,-1.674581425,-0.073253043,2.488590882,6.716197567,4.864782205,-1.36224535,1.118810654,-3.260036623
2017/2/1,40,BQRHK3,-2.081670977,-2.71361809,-0.724575231,-1.046061671,-1.173768233,-3.044858618,2.226612594,9.237815369,12.76220315,10.05857017,9.244075426,-3.518127723,-0.303636711,-1.165477676,2.530268823,2.514099632,0.182466461,0.392021179,-0.156747375
2017/2/1,35,BRV7XS,2.131202726,1.209308275,1.830521638,3.714583152,-2.462073956,-2.403606213,-5.295790962,-3.404877359,-10.64091017,-10.49967905,-7.859275846,2.781634328,-1.937193043,0.454046817,-6.223895732,-7.451088497,0.491442654,-0.653227329,-4.198613198
2017/2/1,40,BRWF4W,-0.533178289,-0.528176937,-0.346271653,-0.639835503,0.141271084,1.204239661,0.232149155,3.913427769,8.542152305,4.369621479,5.590517493,-2.951634812,-0.474416711,-0.135957507,1.637915753,0.821517319,-0.469230283,0.519077301,0.783250918
2017/2/1,30,BRWRT6,0.266499369,1.02004259,1.379654614,4.488327026,4.599925969,5.122542785,7.533526224,6.106042554,3.003354737,3.956035903,-1.910086973,-4.91344171,-0.642553333,-0.401927105,-2.404217927,0.724521075,-1.332021313,-0.634025574,4.935888923
2017/2/1,20,BSZQL2,3.404690424,3.165258282,1.207264203,5.369161587,3.029605628,2.470812991,4.818147706,2.544113158,-5.075715724,-5.559534182,8.259132942,13.33484867,-0.112813705,1.625825165,4.466736762,4.913709089,0.084847697,-0.398352623,1.16234792
2017/2/1,25,BT4517,-1.321153644,1.880664106,0.701833917,5.449270872,6.17325732,10.93889926,17.91242209,-0.960199767,11.09897771,9.724828191,3.904570762,-7.19440695,-0.920026368,2.834036773,-1.756328633,-0.276682604,-2.358808236,-0.117843688,-1.919218952
2017/2/1,20,BV8916,0.284786541,0.040975544,-0.263150632,-2.939859015,-5.072505906,-1.652523934,-9.355544263,-13.8213979,-10.47300111,-8.33431033,-12.21778437,-1.744783258,1.022876295,2.449359996,2.040695518,3.829301051,1.107422125,1.190739632,1.676709363
2017/2/1,25,BWFLSS,0.208950008,0.1607846,0.455201825,1.532378767,2.326152661,0.824808312,-9.43269415,-17.71168014,-11.90882275,-1.828561852,-7.106129479,4.802693274,5.740253632,4.071603326,1.120727792,1.793225382,0.2775353,-0.412856102,0.612318245
2017/2/1,25,BXFH68,0.040416528,0.289862328,0.189388784,-1.125410099,-0.348978554,-0.753976951,-0.451546841,-2.916870523,-7.130792823,-5.832961784,-2.992990505,4.137802318,0.492933632,2.843108363,1.05611232,-3.018289113,0.172033916,0.632276058,9.860918079
2017/2/1,45,BXJRFB,-1.670138021,-0.492644166,0.111707127,-0.969970582,0.973737199,-0.529380484,11.65198751,22.39218973,8.068778324,11.81106117,9.15402322,1.085244897,0.290591125,-1.589424263,-0.437105178,-0.551545432,-0.050472231,-0.051885724,-4.237514792
2017/2/1,20,BXMDGT,-1.324790695,-1.390260343,-0.141804635,-0.209803282,-1.679938521,-0.808427959,-0.001381597,-3.162738107,1.798979358,-1.986334519,-4.35395382,-6.152933177,-1.283733705,-2.936731196,-1.035353334,-6.612436992,0.367830191,-0.050455868,-2.614026841
2017/2/1,35,BZSQX0,-0.44015764,-0.008632429,1.43378123,0.582681187,0.610908348,0.235085274,3.7023844,-2.09651589,-2.800538943,-1.070204551,-2.121091275,0.679447668,-0.771603043,0.551002975,-0.088036175,-0.301678613,0.034878867,-0.173607469,-13.64564348
2017/2/1,45,BZT3MC,0.066403113,0.224841903,-0.541432693,-1.204987579,-0.370197578,-0.325649243,-3.301551756,-3.988998108,-12.03092422,-6.959103864,-6.566898231,5.464025988,-0.256698875,-0.160182116,-1.01561347,0.590878536,-0.201688198,0.329270363,-2.54573027
2017/2/1,45,C0SZHB,-0.179134928,-1.281912272,-1.067815665,-2.342423954,-3.132728958,-2.73005972,-5.529718098,-8.430065767,-7.035136753,-17.11511007,-21.10070253,-14.06556578,0.346901125,0.943396103,2.513854008,6.875560707,0.497624673,0.276597977,1.280208328
2017/2/1,40,C0T1MD,-0.600524663,0.832267247,6.292215758,5.47663533,5.411086898,4.451697467,3.224080033,3.053460944,2.705538779,-1.230345025,-3.338807138,-6.044345917,-0.412336711,-0.290430483,0.17924448,0.100546016,0.124509523,-0.378619671,6.886042248
2017/2/1,40,C0TNSZ,-1.008740341,-1.464270241,0.583287419,1.25361165,-0.421902018,-0.097638401,2.102483878,8.680621305,6.30818014,6.918491627,6.840341401,0.53216126,-1.061396711,-2.212116052,-2.001759051,-4.258932471,0.181650309,-0.056097031,0.042097994
2017/2/1,15,C1C957,-0.50222396,-1.739841181,1.954262717,1.134412928,-0.855938618,-2.998286208,-9.629959275,-11.94221544,-12.13355801,-3.283979195,,,-0.34599954,-0.716446893,-2.975051399,-3.689368711,0.780267946,-0.56340313,-0.777257018
